Date,Country,Continent,Population,New_Cases,Total_Cases,New_Deaths,Total_Deaths,New_Recovered,Total_Recovered,Active_Cases,New_Vaccinations,Total_Vaccinations,Vaccination_Rate,New_Tests,Total_Tests,Hospital_Patients,ICU_Patients,Positivity_Rate,Recovery_Rate,Death_Rate
2021-05-16,USA,North America,1223902888,1082,615962,30,14909,832,528460,72593,4785,2588670,0.21,14066,3291444,4002.0,570.0,7.69,85.79,2.42
2021-05-17,USA,North America,1223902888,852,616814,23,14932,688,529148,72734,4895,2593565,0.21,11076,1450956,4958.0,142.0,7.69,85.79,2.42
2021-05-18,USA,North America,1223902888,1454,618268,48,14980,1181,530329,72959,4776,2598341,0.21,27626,8536434,3105.0,285.0,5.26,85.78,2.42
2021-05-19,USA,North America,1223902888,1104,619372,32,15012,1070,531399,72961,6117,2604458,0.21,14352,3028272,353.0,773.0,7.69,85.8,2.42
2021-05-20,USA,North America,1223902888,922,620294,22,15034,700,532099,73161,2573,2607031,0.21,14752,5030432,4305.0,163.0,6.25,85.78,2.42
2021-05-21,USA,North America,1223902888,668,620962,15,15049,593,532692,73221,2926,2609957,0.21,8684,1901796,2113.0,100.0,7.69,85.78,2.42
2021-05-22,USA,North America,1223902888,1010,621972,21,15070,951,533643,73259,6118,2616075,0.21,8080,2690640,2386.0,552.0,12.5,85.8,2.42
2021-05-23,USA,North America,1223902888,915,622887,21,15091,778,534421,73375,8562,2624637,0.21,7320,1566480,570.0,,12.5,85.8,2.42
2021-05-24,USA,North America,1223902888,764,623651,26,15117,626,535047,73487,6772,2631409,0.22,9168,3016272,1657.0,455.0,8.33,85.79,2.42
2021-05-25,USA,North America,1223902888,1978,625629,43,15160,1517,536564,73905,7009,2638418,0.22,17802,4877748,3422.0,387.0,11.11,85.76,2.42
2021-05-26,USA,North America,1223902888,779,626408,7,15167,713,537277,73964,5846,2644264,0.22,10127,3412799,3464.0,376.0,7.69,85.77,2.42
2021-05-27,USA,North America,1223902888,1210,627618,13,15180,1000,538277,74161,900,2645164,0.22,15730,6197620,3341.0,775.0,7.69,85.77,2.42
2021-05-28,USA,North America,1223902888,2225,629843,28,15208,2134,540411,74224,3748,2648912,0.22,42275,16614075,3330.0,174.0,5.26,85.8,2.41
2021-05-29,USA,North America,1223902888,1242,631085,14,15222,1193,541604,74259,4102,2653014,0.22,11178,2045574,1794.0,218.0,11.11,85.82,2.41
2021-05-30,USA,North America,1223902888,2002,633087,51,15273,1675,543279,74535,4554,2657568,0.22,34034,4968964,4926.0,437.0,5.88,85.81,2.41
2021-05-31,USA,North America,1223902888,1279,634366,15,15288,1088,544367,74711,5812,2663380,0.22,24301,2454401,605.0,165.0,5.26,85.81,2.41
2021-06-01,USA,North America,1223902888,1657,636023,37,15325,1403,545770,74928,4273,2667653,0.22,26512,9650368,4735.0,776.0,6.25,85.81,2.41
2021-06-02,USA,North America,1223902888,1239,637262,19,15344,1023,546793,75125,4207,2671860,0.22,17346,6123138,3341.0,693.0,7.14,85.8,2.41
2021-06-03,USA,North America,1223902888,868,638130,12,15356,657,547450,75324,4440,2676300,0.22,14756,2154376,4989.0,540.0,5.88,85.79,2.41
2021-06-04,USA,North America,1223902888,747,638877,14,15370,713,548163,75344,7275,2683575,0.22,8964,1730052,3214.0,435.0,8.33,85.8,2.41
2021-06-05,USA,North America,1223902888,1871,640748,68,15438,1748,549911,75399,5067,2688642,0.22,14968,3712064,2256.0,277.0,12.5,85.82,2.41
2021-06-06,USA,North America,1223902888,1769,642517,18,15456,1497,551408,75653,6749,2695391,0.22,19459,5565274,729.0,202.0,9.09,85.82,2.41
2021-06-07,USA,North America,1223902888,1542,644059,22,15478,1226,552634,75947,4305,2699696,0.22,29298,7295202,,511.0,5.26,85.8,2.4
2021-06-08,USA,North America,1223902888,845,644904,14,15492,662,553296,76116,5882,2705578,0.22,10140,4015440,3585.0,143.0,8.33,85.8,2.4
2021-06-09,USA,North America,1223902888,879,645783,22,15514,747,554043,76226,4765,2710343,0.22,13185,3520395,4219.0,587.0,6.67,85.79,2.4
2021-06-10,USA,North America,1223902888,1532,647315,47,15561,1200,555243,76511,3385,2713728,0.22,26044,5365064,2927.0,385.0,5.88,85.78,2.4
2021-06-11,USA,North America,1223902888,1084,648399,35,15596,853,556096,76707,4902,2718630,0.22,9756,1463400,4120.0,,11.11,85.76,2.41
2021-06-12,USA,North America,1223902888,922,649321,32,15628,786,556882,76811,4180,2722810,0.22,11064,1394064,3496.0,628.0,8.33,85.76,2.41
2021-06-13,USA,North America,1223902888,1378,650699,43,15671,1091,557973,77055,5305,2728115,0.22,16536,3538704,2703.0,440.0,8.33,85.75,2.41
2021-06-14,USA,North America,1223902888,1851,652550,39,15710,1522,559495,77345,3810,2731925,0.22,24063,6545136,1410.0,388.0,7.69,85.74,2.41
2021-06-15,USA,North America,1223902888,692,653242,25,15735,560,560055,77452,6862,2738787,0.22,8304,2300208,3380.0,726.0,8.33,85.73,2.41
2021-06-16,USA,North America,1223902888,933,654175,28,15763,718,560773,77639,6011,2744798,0.22,13062,3239376,3895.0,203.0,7.14,85.72,2.41
2021-06-17,USA,North America,1223902888,1735,655910,68,15831,1422,562195,77884,4462,2749260,0.22,20820,3643500,3474.0,401.0,8.33,85.71,2.41
2021-06-18,USA,North America,1223902888,838,656748,21,15852,732,562927,77969,3682,2752942,0.22,14246,1495830,2861.0,304.0,5.88,85.71,2.41
2021-06-19,USA,North America,1223902888,477,657225,8,15860,361,563288,78077,5710,2758652,0.23,6201,886743,4642.0,215.0,7.69,85.71,2.41
2021-06-20,USA,North America,1223902888,1520,658745,50,15910,1292,564580,78255,3255,2761907,0.23,15200,1824000,556.0,479.0,10.0,85.71,2.42
2021-06-21,USA,North America,1223902888,710,659455,18,15928,624,565204,78323,4590,2766497,0.23,7810,1804110,3728.0,406.0,9.09,85.71,2.42
2021-06-22,USA,North America,1223902888,1625,661080,43,15971,1379,566583,78526,4005,2770502,0.23,14625,2764125,1023.0,184.0,11.11,85.71,2.42
2021-06-23,USA,North America,1223902888,949,662029,28,15999,778,567361,78669,4421,2774923,0.23,11388,1582932,4148.0,700.0,8.33,85.7,2.42
2021-06-24,USA,North America,1223902888,743,662772,16,16015,591,567952,78805,5108,2780031,0.23,10402,1570702,3494.0,637.0,7.14,85.69,2.42
2021-06-25,USA,North America,1223902888,1480,664252,37,16052,1424,569376,78824,5468,2785499,0.23,28120,3065080,3106.0,247.0,5.26,85.72,2.42
2021-06-26,USA,North America,1223902888,682,664934,11,16063,608,569984,78887,4999,2790498,0.23,10230,1074150,2795.0,187.0,6.67,85.72,2.42
2021-06-27,USA,North America,1223902888,884,665818,13,16076,802,570786,78956,3423,2793921,0.23,15028,3140852,2147.0,782.0,5.88,85.73,2.41
2021-06-28,USA,North America,1223902888,989,666807,26,16102,866,571652,79053,3258,2797179,0.23,18791,1916682,1853.0,84.0,5.26,85.73,2.41
2021-06-29,USA,North America,1223902888,984,667791,34,16136,830,572482,79173,6579,2803758,0.23,13776,4876704,3804.0,494.0,7.14,85.73,2.42
2021-06-30,USA,North America,1223902888,1822,669613,41,16177,1549,574031,79405,4027,2807785,0.23,29152,8454080,3366.0,345.0,6.25,85.73,2.42
2021-07-01,USA,North America,1223902888,1656,671269,31,16208,1255,575286,79775,6173,2813958,0.23,23184,7905744,4477.0,174.0,7.14,85.7,2.41
2021-07-02,USA,North America,1223902888,1190,672459,39,16247,950,576236,79976,3239,2817197,0.23,22610,8049160,4100.0,467.0,5.26,85.69,2.42
2021-07-03,USA,North America,1223902888,1288,673747,49,16296,966,577202,80249,3916,2821113,0.23,20608,2885120,1725.0,128.0,6.25,85.67,2.42
2021-07-04,USA,North America,1223902888,830,674577,28,16324,630,577832,80421,7372,2828485,0.23,9960,2111520,404.0,593.0,8.33,85.66,2.42
2021-07-05,USA,North America,1223902888,742,675319,16,16340,686,578518,80461,4090,2832575,0.23,6678,1489194,1471.0,112.0,11.11,85.67,2.42
2021-07-06,USA,North America,1223902888,1936,677255,40,16380,1619,580137,80738,2423,2834998,0.23,32912,4903888,3013.0,118.0,5.88,85.66,2.42
2021-07-07,USA,North America,1223902888,1096,678351,17,16397,943,581080,80874,5269,2840267,0.23,8768,1148608,3114.0,658.0,12.5,85.66,2.42
2021-07-08,USA,North America,1223902888,1246,679597,33,16430,1188,582268,80899,1885,2842152,0.23,19936,5243168,1334.0,72.0,6.25,85.68,2.42
2021-07-09,USA,North America,1223902888,1539,681136,60,16490,1312,583580,81066,3708,2845860,0.23,24624,5762016,245.0,211.0,6.25,85.68,2.42
2021-07-10,USA,North America,1223902888,749,681885,26,16516,603,584183,81186,5156,2851016,0.23,13482,3559248,689.0,115.0,5.56,85.67,2.42
2021-07-11,USA,North America,1223902888,1558,683443,37,16553,1293,585476,81414,7939,2858955,0.23,17138,5912610,1152.0,617.0,9.09,85.67,2.42
2021-07-12,USA,North America,1223902888,1187,684630,40,16593,1014,586490,81547,2441,2861396,,22553,3495715,3137.0,761.0,5.26,85.67,2.42
2021-07-13,USA,North America,1223902888,1577,686207,44,16637,1500,587990,81580,3269,2864665,0.23,17347,3209195,799.0,278.0,9.09,85.69,2.42
2021-07-14,USA,North America,1223902888,1006,687213,34,16671,905,588895,81647,7441,2872106,0.23,19114,3440520,1906.0,382.0,5.26,85.69,2.43
2021-07-15,USA,North America,1223902888,1296,688509,13,16684,984,589879,81946,3691,2875797,0.23,20736,4955904,2763.0,766.0,6.25,85.67,2.42
2021-07-16,USA,North America,1223902888,1682,690191,41,16725,1290,591169,82297,5393,2881190,0.24,25230,9108030,1712.0,640.0,6.67,85.65,2.42
2021-07-17,USA,North America,1223902888,1473,691664,14,16739,1243,592412,82513,6732,2887922,0.24,22095,8727525,3454.0,406.0,6.67,85.65,2.42
2021-07-18,USA,North America,1223902888,883,692547,27,16766,774,593186,82595,6153,2894075,0.24,11479,3604406,4851.0,470.0,7.69,85.65,2.42
2021-07-19,USA,North America,1223902888,1127,693674,35,16801,982,594168,82705,4000,2898075,0.24,9016,1613864,2422.0,700.0,12.5,85.66,2.42
2021-07-20,USA,North America,1223902888,566,694240,8,16809,493,594661,82770,3508,2901583,0.24,10754,4118782,383.0,795.0,5.26,85.66,2.42
2021-07-21,USA,North America,1223902888,1551,695791,60,16869,1358,596019,82903,6188,2907771,0.24,26367,6934521,1434.0,86.0,5.88,85.66,2.42
2021-07-22,USA,North America,1223902888,852,696643,19,16888,813,596832,82923,490,2908261,0.24,11076,1727856,2036.0,771.0,7.69,85.67,2.42
2021-07-23,USA,North America,1223902888,750,697393,28,16916,582,597414,83063,8948,2917209,0.24,6000,1554000,2861.0,24.0,12.5,85.66,2.43
2021-07-24,USA,North America,1223902888,1025,698418,26,16942,912,598326,83150,5062,2922271,0.24,18450,4704750,276.0,537.0,5.56,85.67,2.43
2021-07-25,USA,North America,1223902888,1809,700227,60,17002,1480,599806,83419,6919,2929190,0.24,14472,4471848,4306.0,137.0,12.5,85.66,2.43
2021-07-26,USA,North America,1223902888,1169,701396,35,17037,1101,600907,83452,3231,2932421,0.24,9352,2010680,1934.0,289.0,12.5,85.67,2.43
2021-07-27,USA,North America,1223902888,720,702116,26,17063,614,601521,83532,4618,2937039,0.24,11520,3202560,1184.0,103.0,6.25,85.67,2.43
2021-07-28,USA,North America,1223902888,562,702678,8,17071,464,601985,83622,3843,2940882,0.24,9554,3783384,4347.0,454.0,5.88,85.67,2.43
2021-07-29,USA,North America,1223902888,1415,704093,38,17109,1212,603197,83787,2399,2943281,0.24,12735,1617345,841.0,431.0,11.11,85.67,2.43
2021-07-30,USA,North America,1223902888,1969,706062,26,17135,1801,604998,83929,5934,2949215,0.24,23628,7112028,2723.0,84.0,8.33,85.69,2.43
2021-07-31,USA,North America,1223902888,1159,707221,18,17153,993,605991,84077,3760,2952975,0.24,13908,1641144,3079.0,480.0,8.33,85.69,2.43
2021-08-01,USA,North America,1223902888,1726,708947,33,17186,1639,607630,84131,2020,2954995,0.24,17260,4729240,1761.0,684.0,10.0,85.71,2.42
2021-08-02,USA,North America,1223902888,1106,710053,21,17207,944,608574,84272,7378,2962373,0.24,14378,4140864,969.0,494.0,7.69,85.71,2.42
2021-08-03,USA,North America,1223902888,946,710999,18,17225,746,609320,84454,2725,2965098,0.24,17028,4393224,2732.0,604.0,5.56,85.7,2.42
2021-08-04,USA,North America,1223902888,1384,712383,29,17254,1054,610374,84755,4692,2969790,0.24,22144,8104704,4610.0,465.0,6.25,85.68,2.42
2021-08-05,USA,North America,1223902888,651,713034,17,17271,549,610923,84840,8287,2978077,0.24,11067,4305063,3864.0,17.0,5.88,85.68,2.42
2021-08-06,USA,North America,1223902888,1464,714498,23,17294,1185,612108,85096,2054,2980131,0.24,11712,2436096,3020.0,779.0,12.5,85.67,2.42
2021-08-07,USA,North America,1223902888,905,715403,29,17323,851,612959,85121,3177,2983308,0.24,11765,2435355,2286.0,90.0,7.69,85.68,2.42
2021-08-08,USA,North America,1223902888,945,716348,12,17335,785,613744,85269,9089,2992397,0.24,13230,2910600,356.0,13.0,7.14,85.68,2.42
2021-08-09,USA,North America,1223902888,1121,717469,41,17376,941,614685,85408,7448,2999845,0.25,16815,3497520,3411.0,387.0,6.67,85.67,2.42
2021-08-10,USA,North America,1223902888,1413,718882,52,17428,1226,615911,85543,4168,3004013,0.25,12717,2174607,3885.0,192.0,11.11,85.68,2.42
2021-08-11,USA,North America,1223902888,1008,719890,17,17445,950,616861,85584,8281,3012294,0.25,11088,2727648,2675.0,512.0,9.09,85.69,2.42
2021-08-12,USA,North America,1223902888,1086,720976,15,17460,939,617800,85716,3848,3016142,0.25,9774,2248020,844.0,272.0,11.11,85.69,2.42
2021-08-13,USA,North America,1223902888,1377,722353,14,17474,1138,618938,85941,4581,3020723,0.25,20655,4977855,4416.0,104.0,6.67,85.68,2.42
2021-08-14,USA,North America,1223902888,1076,723429,30,17504,821,619759,86166,4913,3025636,0.25,8608,3288256,337.0,133.0,12.5,85.67,2.42
2021-08-15,USA,North America,1223902888,1017,724446,28,17532,924,620683,86231,7039,3032675,0.25,8136,1749240,2946.0,731.0,12.5,85.68,2.42
2021-08-16,USA,North America,1223902888,1083,725529,24,17556,862,621545,86428,9439,3042114,0.25,11913,1453386,3463.0,504.0,9.09,85.67,2.42
2021-08-17,USA,North America,1223902888,294,725823,4,17560,237,621782,86481,5239,3047353,0.25,2940,1158360,1706.0,,10.0,85.67,2.42
2021-08-18,USA,North America,1223902888,1732,727555,64,17624,1664,623446,86485,6456,3053809,0.25,32908,12965752,2611.0,473.0,5.26,85.69,2.42
2021-08-19,USA,North America,1223902888,808,728363,12,17636,625,624071,86656,8509,3062318,0.25,11312,2070096,1557.0,269.0,7.14,85.68,2.42
2021-08-20,USA,North America,1223902888,993,729356,19,17655,807,624878,86823,5339,3067657,0.25,14895,2636415,958.0,797.0,6.67,85.68,2.42
2021-08-21,USA,North America,1223902888,1263,730619,30,17685,996,625874,87060,5261,3072918,0.25,15156,2288556,855.0,441.0,8.33,85.66,2.42
2021-08-22,USA,North America,1223902888,2584,733203,45,17730,2146,628020,87453,3562,3076480,0.25,25840,8992320,1474.0,210.0,10.0,85.65,2.42
2021-08-23,USA,North America,1223902888,1808,735011,62,17792,1519,629539,87680,4650,3081130,0.25,23504,6487104,,769.0,7.69,85.65,2.42
2021-08-24,USA,North America,1223902888,384,735395,9,17801,326,629865,87729,3288,3084418,0.25,3456,667008,1534.0,207.0,11.11,85.65,2.42
2021-08-25,USA,North America,1223902888,1013,736408,29,17830,921,630786,87792,7703,3092121,0.25,10130,3768360,2081.0,48.0,10.0,85.66,2.42
2021-08-26,USA,North America,1223902888,1868,738276,46,17876,1749,632535,87865,2633,3094754,0.25,20548,2301376,3953.0,104.0,9.09,85.68,2.42
2021-08-27,USA,North America,1223902888,551,738827,5,17881,520,633055,87891,6702,3101456,0.25,6612,1216608,4901.0,190.0,8.33,85.68,2.42
2021-08-28,USA,North America,1223902888,670,739497,21,17902,590,633645,87950,6386,3107842,0.25,10050,2120550,1445.0,572.0,6.67,85.69,2.42
2021-08-29,USA,North America,1223902888,1009,740506,33,17935,793,634438,88133,4119,3111961,0.25,15135,2239980,4398.0,445.0,6.67,85.68,2.42
2021-08-30,USA,North America,1223902888,849,741355,23,17958,806,635244,88153,4379,3116340,0.25,11886,3898608,1230.0,134.0,7.14,85.69,2.42
2021-08-31,USA,North America,1223902888,1432,742787,26,17984,1163,636407,88396,3486,3119826,0.25,17184,6237792,4137.0,694.0,8.33,85.68,2.42
2021-09-01,USA,North America,1223902888,1215,744002,37,18021,1122,637529,88452,4347,3124173,0.26,9720,3810240,2277.0,734.0,12.5,85.69,2.42
2021-09-02,USA,North America,1223902888,1994,745996,46,18067,1920,639449,88480,6919,3131092,0.26,37886,8297034,4910.0,667.0,5.26,85.72,2.42
2021-09-03,USA,North America,1223902888,961,746957,25,18092,765,640214,88651,6399,3137491,0.26,18259,4491714,156.0,557.0,5.26,85.71,2.42
2021-09-04,USA,North America,1223902888,1398,748355,55,18147,1054,641268,88940,4062,3141553,0.26,12582,5020218,1670.0,254.0,11.11,85.69,2.42
2021-09-05,USA,North America,1223902888,1497,749852,15,18162,1316,642584,89106,4734,3146287,0.26,19461,3502980,808.0,756.0,7.69,85.69,2.42
2021-09-06,USA,North America,1223902888,1719,751571,51,18213,1645,644229,89129,7092,3153379,0.26,22347,4469400,3357.0,712.0,7.69,85.72,2.42
2021-09-07,USA,North America,1223902888,472,752043,11,18224,393,644622,89197,3436,3156815,0.26,8024,1861568,4996.0,451.0,5.88,85.72,2.42
2021-09-08,USA,North America,1223902888,936,752979,25,18249,712,645334,89396,4992,3161807,0.26,11232,3807648,3634.0,511.0,8.33,85.7,2.42
2021-09-09,USA,North America,1223902888,409,753388,15,18264,381,645715,89409,2715,3164522,0.26,3272,399184,1401.0,783.0,12.5,85.71,2.42
2021-09-10,USA,North America,1223902888,1253,754641,14,18278,1121,646836,89527,5580,3170102,0.26,22554,3428208,1072.0,789.0,5.56,85.71,2.42
2021-09-11,USA,North America,1223902888,1008,755649,35,18313,958,647794,89542,4762,3174864,0.26,15120,5276880,3632.0,295.0,6.67,85.73,2.42
2021-09-12,USA,North America,1223902888,1595,757244,59,18372,1278,649072,89800,3296,3178160,0.26,27115,2928420,541.0,603.0,5.88,85.72,2.43
2021-09-13,USA,North America,1223902888,1471,758715,33,18405,1282,650354,89956,4727,3182887,0.26,17652,2153544,3376.0,42.0,8.33,85.72,2.43
2021-09-14,USA,North America,1223902888,1802,760517,31,18436,1518,651872,90209,4380,3187267,0.26,23426,4427514,1195.0,453.0,7.69,85.71,2.42
2021-09-15,USA,North America,1223902888,549,761066,13,18449,517,652389,90228,4162,3191429,0.26,10431,4015935,939.0,662.0,5.26,85.72,2.42
2021-09-16,USA,North America,1223902888,804,761870,27,18476,647,653036,90358,5921,3197350,0.26,10452,2686164,4733.0,605.0,7.69,85.71,2.43
2021-09-17,USA,North America,1223902888,1876,763746,73,18549,1594,654630,90567,3897,3201247,0.26,20636,4065292,,506.0,9.09,85.71,2.43
2021-09-18,USA,North America,1223902888,1051,764797,10,18559,902,655532,90706,5811,3207058,0.26,11561,3086787,1266.0,64.0,9.09,85.71,2.43
2021-09-19,USA,North America,1223902888,314,765111,9,18568,280,655812,90731,4424,3211482,0.26,4710,1705020,3927.0,431.0,6.67,85.71,2.43
2021-09-20,USA,North America,1223902888,988,766099,27,18595,872,656684,90820,7018,3218500,0.26,18772,6945640,55.0,690.0,5.26,85.72,2.43
2021-09-21,USA,North America,1223902888,1313,767412,38,18633,1000,657684,91095,3169,3221669,0.26,14443,5156151,1739.0,124.0,9.09,85.7,2.43
2021-09-22,USA,North America,1223902888,1507,768919,26,18659,1416,659100,91160,6703,3228372,0.26,18084,4068900,64.0,428.0,8.33,85.72,2.43
2021-09-23,USA,North America,1223902888,1005,769924,27,18686,808,659908,91330,3540,3231912,0.26,14070,4572750,3270.0,593.0,7.14,85.71,2.43
2021-09-24,USA,North America,1223902888,1216,771140,35,18721,1046,660954,91465,8034,3239946,0.26,18240,6201600,2141.0,706.0,6.67,85.71,2.43
2021-09-25,USA,North America,1223902888,1475,772615,41,18762,1156,662110,91743,2193,3242139,0.26,20650,4295200,3653.0,470.0,7.14,85.7,2.43
2021-09-26,USA,North America,1223902888,1110,773725,17,18779,967,663077,91869,4250,3246389,0.27,21090,2889330,981.0,100.0,5.26,85.7,2.43
2021-09-27,USA,North America,1223902888,1954,775679,31,18810,1591,664668,92201,4751,3251140,0.27,21494,7716346,2968.0,635.0,9.09,85.69,2.42
2021-09-28,USA,North America,1223902888,1085,776764,13,18823,966,665634,92307,5446,3256586,0.27,19530,2441250,1235.0,223.0,5.56,85.69,2.42
2021-09-29,USA,North America,1223902888,279,777043,8,18831,255,665889,92323,3957,3260543,0.27,3627,852345,403.0,321.0,7.69,85.7,2.42
2021-09-30,USA,North America,1223902888,795,777838,22,18853,761,666650,92335,3446,3263989,0.27,12720,2645760,1597.0,96.0,6.25,85.71,2.42
2021-10-01,USA,North America,1223902888,1042,778880,19,18872,843,667493,92515,6388,3270377,0.27,13546,3196856,,623.0,7.69,85.7,2.42
2021-10-02,USA,North America,1223902888,648,779528,6,18878,488,667981,92669,742,3271119,0.27,9720,2041200,615.0,268.0,6.67,85.69,2.42
2021-10-03,USA,North America,1223902888,1159,780687,33,18911,1083,669064,92712,3873,3274992,0.27,18544,3337920,559.0,319.0,6.25,85.7,2.42
2021-10-04,USA,North America,1223902888,1193,781880,46,18957,1087,670151,92772,1294,3276286,0.27,9544,2443264,484.0,528.0,12.5,85.71,2.42
2021-10-05,USA,North America,1223902888,847,782727,23,18980,654,670805,92942,4712,3280998,0.27,12705,3214365,4699.0,22.0,6.67,85.7,2.42
2021-10-06,USA,North America,1223902888,1396,784123,43,19023,1140,671945,93155,7333,3288331,0.27,23732,6455104,2353.0,619.0,5.88,85.69,2.43
2021-10-07,USA,North America,1223902888,2244,786367,75,19098,1789,673734,93535,3456,3291787,0.27,29172,4638348,1642.0,498.0,7.69,85.68,2.43
2021-10-08,USA,North America,1223902888,1548,787915,56,19154,1378,675112,93649,6692,3298479,0.27,23220,3761640,1611.0,186.0,6.67,85.68,2.43
2021-10-09,USA,North America,1223902888,1650,789565,32,19186,1354,676466,93913,6275,3304754,0.27,26400,7180800,4381.0,719.0,6.25,85.68,2.43
2021-10-10,USA,North America,1223902888,1337,790902,40,19226,1259,677725,93951,8319,3313073,0.27,24066,4765068,134.0,39.0,5.56,85.69,2.43
2021-10-11,USA,North America,1223902888,875,791777,32,19258,662,678387,94132,5249,3318322,0.27,10500,2541000,2669.0,303.0,8.33,85.68,2.43
2021-10-12,USA,North America,1223902888,479,792256,16,19274,394,678781,94201,3515,3321837,0.27,7664,2030960,3267.0,450.0,6.25,85.68,2.43
2021-10-13,USA,North America,1223902888,964,793220,18,19292,862,679643,94285,3360,3325197,0.27,11568,2151648,2120.0,767.0,8.33,85.68,2.43
2021-10-14,USA,North America,1223902888,1883,795103,47,19339,1455,681098,94666,5911,3331108,0.27,16947,4694319,850.0,232.0,11.11,85.66,2.43
2021-10-15,USA,North America,1223902888,1127,796230,12,19351,1020,682118,94761,4561,3335669,0.27,18032,5481728,2800.0,88.0,6.25,85.67,2.43
2021-10-16,USA,North America,1223902888,1267,797497,36,19387,1185,683303,94807,6282,3341951,0.27,16471,6193096,659.0,145.0,7.69,85.68,2.43
2021-10-17,USA,North America,1223902888,1029,798526,30,19417,965,684268,94841,1937,3343888,0.27,13377,2274090,4688.0,170.0,7.69,85.69,2.43
2021-10-18,USA,North America,1223902888,1083,799609,16,19433,888,685156,95020,8615,3352503,0.27,10830,3909630,2477.0,752.0,10.0,85.69,2.43
2021-10-19,USA,North America,1223902888,2110,801719,61,19494,1812,686968,95257,7452,3359955,0.27,37980,14622300,775.0,741.0,5.56,85.69,2.43
2021-10-20,USA,North America,1223902888,845,802564,20,19514,669,687637,95413,5380,3365335,,7605,1133145,4026.0,714.0,11.11,85.68,2.43
2021-10-21,USA,North America,1223902888,604,803168,17,19531,568,688205,95432,4215,3369550,,8456,997808,1486.0,584.0,7.14,85.69,2.43
2021-10-22,USA,North America,1223902888,1026,804194,22,19553,884,689089,95552,3351,3372901,0.28,15390,1800630,1621.0,381.0,6.67,85.69,2.43
2021-10-23,USA,North America,1223902888,991,805185,18,19571,877,689966,95648,3082,3375983,0.28,10901,4055172,1336.0,515.0,9.09,85.69,2.43
2021-10-24,USA,North America,1223902888,1241,806426,20,19591,1074,691040,95795,7237,3383220,0.28,14892,5316444,3137.0,718.0,8.33,85.69,2.43
2021-10-25,USA,North America,1223902888,1378,807804,32,19623,1262,692302,95879,4789,3388009,0.28,22048,3130816,3541.0,56.0,6.25,85.7,2.43
2021-10-26,USA,North America,1223902888,1616,809420,39,19662,1548,693850,95908,5303,3393312,0.28,30704,7553184,839.0,562.0,5.26,85.72,2.43
2021-10-27,USA,North America,1223902888,1354,810774,29,19691,1123,694973,96110,4947,3398259,0.28,23018,8332516,4896.0,,5.88,85.72,2.43
2021-10-28,USA,North America,1223902888,2340,813114,36,19727,2033,697006,96381,4850,3403109,0.28,35100,11126700,3147.0,390.0,6.67,85.72,2.43
2021-10-29,USA,North America,1223902888,1435,814549,45,19772,1238,698244,96533,6461,3409570,0.28,25830,7103250,4090.0,592.0,5.56,85.72,2.43
2021-10-30,USA,North America,1223902888,1107,815656,24,19796,942,699186,96674,4792,3414362,0.28,17712,3241296,3081.0,,6.25,85.72,2.43
2021-10-31,USA,North America,1223902888,1526,817182,35,19831,1381,700567,96784,3544,3417906,0.28,28994,11017720,2393.0,656.0,5.26,85.73,2.43
2021-11-01,USA,North America,1223902888,1091,818273,18,19849,1021,701588,96836,3472,3421378,0.28,16365,4794945,2353.0,779.0,6.67,85.74,2.43
2021-11-02,USA,North America,1223902888,1490,819763,54,19903,1140,702728,97132,3973,3425351,0.28,28310,8945960,1896.0,421.0,5.26,85.72,2.43
2021-11-03,USA,North America,1223902888,1119,820882,39,19942,919,703647,97293,3933,3429284,0.28,11190,3681510,994.0,497.0,10.0,85.72,2.43
2021-11-04,USA,North America,1223902888,877,821759,33,19975,769,704416,97368,2738,3432022,0.28,7893,2304756,895.0,771.0,11.11,85.72,2.43
2021-11-05,USA,North America,1223902888,1511,823270,22,19997,1376,705792,97481,4177,3436199,0.28,12088,2852768,4434.0,592.0,12.5,85.73,2.43
2021-11-06,USA,North America,1223902888,1232,824502,17,20014,1140,706932,97556,4411,3440610,0.28,19712,2976512,945.0,660.0,6.25,85.74,2.43
2021-11-07,USA,North America,1223902888,903,825405,13,20027,831,707763,97615,3929,3444539,0.28,15351,4912320,1849.0,321.0,5.88,85.75,2.43
2021-11-08,USA,North America,1223902888,1029,826434,26,20053,830,708593,97788,5695,3450234,0.28,17493,4478208,4347.0,253.0,5.88,85.74,2.43
2021-11-09,USA,North America,1223902888,1638,828072,17,20070,1330,709923,98079,3504,3453738,0.28,16380,6093360,4710.0,606.0,10.0,85.73,2.42
2021-11-10,USA,North America,1223902888,818,828890,24,20094,634,710557,98239,3420,3457158,0.28,10634,1680172,4299.0,651.0,7.69,85.72,2.42
2021-11-11,USA,North America,1223902888,1199,830089,39,20133,899,711456,98500,5094,3462252,0.28,11990,3453120,1856.0,152.0,10.0,85.71,2.43
2021-11-12,USA,North America,1223902888,1550,831639,24,20157,1489,712945,98537,6186,3468438,0.28,15500,4681000,3130.0,468.0,10.0,85.73,2.42
2021-11-13,USA,North America,1223902888,1005,832644,16,20173,755,713700,98771,5417,3473855,0.28,12060,1929600,2254.0,338.0,8.33,85.71,2.42
2021-11-14,USA,North America,1223902888,1860,834504,56,20229,1475,715175,99100,3429,3477284,0.28,31620,6387240,367.0,191.0,5.88,85.7,2.42
